iter	Passed	Remaining
0	56	56104
1	56	28262
2	57	19006
3	57	14356
4	58	11556
5	58	9682
6	58	8338
7	59	7334
8	59	6546
9	59	5923
10	60	5423
11	60	5002
12	61	4641
13	61	4333
14	61	4061
15	62	3825
16	62	3617
17	62	3432
18	63	3271
19	63	3123
20	64	2987
21	64	2865
22	64	2752
23	65	2649
24	65	2551
25	65	2466
26	66	2385
27	66	2313
28	67	2248
29	67	2182
30	67	2120
31	68	2062
32	68	2007
33	68	1958
34	69	1909
35	69	1863
36	69	1819
37	70	1777
38	70	1738
39	71	1708
40	71	1671
41	71	1637
42	73	1627
43	73	1596
44	73	1565
45	74	1540
46	74	1512
47	74	1485
48	75	1460
49	75	1436
50	76	1415
51	76	1392
52	76	1372
53	77	1354
54	77	1334
55	78	1315
56	78	1296
57	78	1277
58	78	1259
59	79	1243
60	79	1227
61	80	1212
62	80	1197
63	80	1181
64	81	1167
65	81	1155
66	81	1140
67	82	1127
68	82	1115
69	83	1103
70	83	1091
71	83	1079
72	84	1067
73	84	1056
74	84	1047
75	85	1036
76	85	1026
77	86	1017
78	86	1007
79	86	997
80	87	989
81	88	987
82	88	975
83	88	968
84	89	959
85	89	950
86	89	942
87	90	935
88	90	927
89	90	919
90	91	913
91	91	906
92	92	899
93	92	894
94	93	887
95	93	881
96	93	874
97	94	868
98	94	861
99	94	854
100	95	848
101	95	842
102	96	837
103	96	832
104	97	827
105	97	823
106	97	817
107	98	811
108	98	805
109	99	801
110	99	795
111	99	790
112	100	785
113	100	781
114	100	776
115	101	771
116	101	766
117	101	761
118	102	756
119	102	752
120	103	749
121	103	745
122	103	741
123	104	736
124	104	732
125	105	728
126	105	724
127	105	720
128	106	717
129	106	713
130	107	710
131	107	706
132	107	702
133	108	698
134	108	695
135	109	693
136	109	689
137	109	685
138	110	681
139	110	678
140	110	674
141	110	670
142	111	667
143	111	664
144	112	662
145	112	659
146	113	656
147	113	653
148	113	650
149	114	647
150	114	643
151	114	640
152	115	638
153	115	635
154	116	633
155	116	631
156	117	628
157	117	626
158	117	623
159	118	620
160	118	616
161	118	614
162	119	611
163	119	609
164	119	606
165	120	603
166	120	601
167	120	599
168	121	597
169	121	595
170	122	592
171	122	590
172	122	587
173	123	585
174	123	583
175	123	580
176	124	578
177	124	576
178	125	573
179	125	571
180	125	569
181	126	567
182	126	565
183	127	564
184	127	562
185	127	559
186	128	557
187	128	554
188	128	552
189	129	550
190	129	548
191	129	546
192	130	545
193	130	543
194	131	541
195	131	539
196	131	537
197	132	535
198	133	535
199	133	534
200	133	532
201	134	530
202	134	529
